"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","220uF","~","Wurth_Elektronik_220uf:Wurth_Elektronik_220uf","1",""
"C2","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10uF","~","Wurth_Elektronik_10uf:Wurth_Elektronik_10uf","1",""
"D1","GREEN","~","LED_THT:LED_D5.0mm","1",""
"D2,D3,D4,D5,D6","1N4005G","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","5",""
"F2","0.5_AMP","~","NANOSMDC016F-2:RESC3115X65N","1",""
"J2","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"Q2,Q5","2N3906","-- mixed values --","Package_TO_SOT_SMD:SOT-23","2",""
"Q4,Q6","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_SMD:SOT-23","2",""
"R1,R8","2.2kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R2","1MΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3","330Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4","10kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5","220kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R6","390kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R7","22kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R9","8.2kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10","180Ω","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"RV1","5kΩ","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"SW1","SW_SPST","~","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","1",""
"U1","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U2","LM339","https://www.st.com/resource/en/datasheet/lm139.pdf","Package_SO:SOIC-14-16_3.9x9.9mm_P1.27mm","1",""
"V1","VSIN","~","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","1",""
